Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.window.label.game_setting.game.MinPlayerCount,Minimum Players Required,,최소 인원 수,,
editor.window.label.game_setting.game.RecruitmentTime,Recruitment Time,,인원 모집 시간,,
editor.window.label.game_setting_editor,Game Settings Editor,,게임 설정 편집,,
editor.window.label.game_setting_editor.WaitGameTime,Player Join Wait Time,,입장 대기 시간,,
editor.window.label.game_setting_language,Language,,언어,,
editor.window.label.game_setting_test_play_language,Test Play Language,,테스트 플레이 언어,,
editor.window.label.game_setting_editor.character_data,Character Data,,캐릭터 데이터,,
editor.window.label.game_setting_editor.character_list,Character List,,캐릭터 목록,,
editor.window.label.game_setting_editor.character_name,Character Name,,캐릭터 이름,,
editor.window.label.game_setting_editor.custom_member,Custom Variable,,커스텀 변수,,
editor.window.label.game_setting_editor.default_life_quantity,Default Life Count,,기본 하트 수,,
editor.window.label.game_setting_editor.default_star_quantity,Default Star Count,,기본 별 수량,,
editor.window.label.game_setting_editor.description,Description,,설명,,
editor.window.label.game_setting_editor.exchange_item,Exchange Item,,교환할 아이템,,
editor.window.label.game_setting_editor.game_result_scene,Game Result Scene,,결과 씬,,
editor.window.label.game_setting_editor.icon,Icon,,아이콘,,
editor.window.label.game_setting_editor.life,Life,,하트,,
editor.window.label.game_setting_editor.matching,Matching,,매칭,,
editor.window.label.game_setting_editor.max_move_speed,Max Movement Speed,,최대 이동 속도,,
editor.window.label.game_setting_editor.max_players,Max Players,,최대 인원,,
editor.window.label.game_setting_editor.max_total_life,Maximum Life,,최대 하트 수,,
editor.window.label.game_setting_editor.max_total_star,Maximum Star Count,,최대 별 수량,,
editor.window.label.game_setting_editor.min_players,Minimum Players,,최소 인원,,
editor.window.label.game_setting_editor.move_speed,Movement Speed,,이동 속도,,
editor.window.label.game_setting_editor.number_of_item,Number of Items,,아이템 개수,,
editor.window.label.game_setting_editor.number_of_stars,Number of Stars,,별 개수,,
editor.window.label.game_setting_editor.player_name,Player Name,,플레이어 이름,,
editor.window.label.game_setting_editor.pre_game_scene,Pre-Game Scene,,매칭 대기 씬,,
editor.window.label.game_setting_editor.pre_game_time,Pre-Game Time,,매칭 대기 시간,,
editor.window.label.game_setting_editor.preview,Preview,,미리보기,,
editor.window.label.game_setting_editor.preview_image,Preview Image,,미리보기 이미지,,
editor.window.label.game_setting_editor.recruitment_time,Recruitment Time,,모집 시간,,
editor.window.label.game_setting_editor.rotation_time,Rotation Time,,회전 시간,,
editor.window.label.game_setting_editor.scene,Scene,,씬,,
editor.window.label.game_setting_editor.show_life_on_hud,Show Life on HUD,,HUD에 이름 표시,,
editor.window.label.game_setting_editor.show_nameplate_on_hud,Show Nameplate on HUD,,HUD에 이름표 표시,,
editor.window.label.game_setting_editor.stage_list,Stage List,,스테이지 목록,,
editor.window.label.game_setting_editor.starcraft,StarCrafting System,,별 교환 시스템,,
editor.window.label.game_setting_editor.starcraft_data,StarCraft Data,,별 교환 ,,
editor.window.label.game_setting_editor.starcraft_item_setting,StarCraft Item Settings,,별 교환 아이템 설정,,
editor.window.label.game_setting_editor.starcrafting_system,StarCrafting System,,별 교환 시스템,,
editor.window.label.game_setting_editor.tab.character,Character,,캐릭터,,
editor.window.label.game_setting_editor.tab.costume,Costume,,의상,,
editor.window.label.game_setting_editor.variable_group,Variable Group,,변수 그룹,,
editor.window.label.LocalizationEditor,LOC Text Editor,,다국어 문자 에디터,,
editor.window.label.vstage,Stage,,스테이지,,
editor.window.label.vstage.mystage,My Stage,,내 스테이지,,
editor.window.label.vstage.stageinfo,Stage Info,,스테이지 정보,,
editor.window.label.newstage.start_from_new_stage,Start from New Stage,,새 스테이지로 만들기,,
editor.window.label.newscene.start_from_new_scene,Start from New Scene,,새 씬으로 만들기,,
editor.window.label.newscene.desc,Explore the basic structure of game creation through the template scene and create your own unique scene.,,템플릿 씬을 통해 게임 제작의 기본 구조를 살펴보고 자신만의 독창적인 씬을 만들어보세요.,,
editor.window.label.newstage,New Stage,,새 스테이지,,
editor.window.label.newstage.templatestage,Template Stage,,템플릿 스테이지,,
editor.window.label.newstage.basestage,Base Stage,,기본 스테이지,,
editor.window.label.vplayer,Player,,플레이어,,
editor.window.label.vplayer.characterlist,Character List,,캐릭터 목록,,
